gene,CONSEL_hypo0,IQTree_hypo0,IQTree2_hypo0,runtime_CONSEL,runtime_IQTree,runtime_IQTree2
ndhE_cd,0.028,0.0265,0.0242,0.922,3.111,2.962
ndhB_cd,0,0.0408,0.0388,0.005,13.046,15.471
ndhA_cd,0.044,0.0417,0.0559,4.624,12.803,14.584
psbK_cd,0.144,0.15,0.149,0.876,2.924,2.125
rps16_cd,0.036,0.0414,0.0378,1.463,3.658,3.553
ndhG_cd,0.044,0.0417,0.0427,1.683,6.691,6.104
rps18_cd,0.095,0.0972,0.0924,3.93,10.641,10.911
ndhI_cd,0.024,0.022,0.0217,2.104,5.439,5.504
atpH_cd,0.006,0.00774,0.00486,1.038,2.311,2.166
psbZ_cd,0.009,0.0066,0.00937,0.663,1.855,2.524
ndhJ_cd,0.001,0.00097,0.00173,1.942,5.426,5.016
rpoC1_cd,0.115,0.106,0.103,8.105,23.925,25.74
psbH_cd,0.138,0.134,0.129,1.472,3.122,2.892
petN_cd,0.001,0.00101,0.000696,0.613,1.158,1.01
rps4_cd,0.021,0.0192,0.0201,2.952,8.434,5.734
rpl36_cd,0.0002,5.69e-05,3.56e-06,0.764,2.072,2.208
rbcL_cd,0.014,0.0152,0.0113,7.505,10.805,9.989
psbE_cd,0.002,0.00118,0.00123,1.479,3.455,2.521
psbC_cd,0.013,0.0148,0.0131,5.052,11.344,10.934
psbJ_cd,0.0001,0.000225,3.28e-11,0.572,2.029,1.619
rpl2_cd,0.189,0.178,0.185,2.598,7.374,12.768
matK_cd,0.013,0.0115,0.0126,7.389,19.793,15.07
clpP_cd,0.003,0.00247,0.00269,3.251,10.431,10.215
rpl22_cd,0.004,0.0032,0.00285,2.868,6.421,6.761
rps19_cd,0.024,0.0195,0.0271,1.792,7.004,7.811
rps7_cd,0.016,0.0119,0.0125,1.639,6.825,7.319
psaC_cd,0.003,0.00157,0.00181,1.085,2.968,3.5
psbL_cd,5e-05,2.62e-05,0.000204,0.767,2.523,2.715
ndhF_cd,0.035,0.0316,0.0262,10.041,24.323,20.928
psaA_cd,0.237,0.224,0.236,5.778,15.605,14.302
rps11_cd,0.019,0.0199,0.0222,2.188,9.816,10.022
rpoA_cd,0.012,0.0149,0.014,5.353,18.67,17.402
ndhC_cd,0.017,0.023,0.0204,2.116,6.584,7.895
psbI_cd,5e-05,0.000397,0.000342,0.634,2.575,3.409
rps2_cd,0,0.0611,0.0662,0.008,17.35,14.702
ycf1_cd,0.215,0.212,0.218,63.101,165.452,126.528
psbM_cd,3e-05,0.000178,0.000336,0.639,1.906,2.043
petD_cd,0.026,0.0251,0.0261,2.134,4.467,5.337
rpl16_cd,0.036,0.0307,0.037,1.824,4.744,4.542
atpA_cd,0.091,0.0895,0.089,5.749,18.951,13.754
rps3_cd,0.198,0.189,0.202,3.737,8.054,7.954
rpl20_cd,0.021,0.0119,0.0176,1.792,5.844,5.769
rpl23_cd,0.018,0.0165,0.016,1.122,5.928,6.218
rpoC2_cd,0,0.257,0.267,0.007,58.586,50.155
ycf4_cd,0.032,0.03,0.0329,1.989,6.579,6.106
ycf3_cd,0,0.166,0.181,0.005,5.023,4.536
rpl14_cd,0.02,0.0265,0.0203,1.093,4.044,4.26
petG_cd,5e-05,3.67e-72,1.5e-07,0.577,1.398,1.294
cemA_cd,0.158,0.165,0.162,2.9,7.987,9.392
psbB_cd,0.215,0.213,0.229,4.95,14.037,12.744
rps8_cd,0.011,0.0106,0.0068,1.451,4.754,3.994
psaJ_cd,0.0004,0.00139,0.00176,0.655,2.887,2.697
rps12_cd,0.008,0.00972,0.0103,1.335,4.009,3.379
atpE_cd,0.069,0.0649,0.0579,1.622,4.749,4.138
psbT_cd,0.002,0.00101,0.00089,0.434,1.826,2.475
psbA_cd,0.037,0.0325,0.0359,3.882,9.515,8.918
petB_cd,0.083,0.077,0.0812,2.092,6.687,7.413
psaI_cd,0.004,0.00372,0.00228,0.748,2.134,2.015
psaB_cd,0.133,0.139,0.147,7.254,24.129,26.362
psbD_cd,5e-05,8.55e-88,1.95e-114,5.376,9.429,7.618
ndhK_cd,0.3,0.285,0.292,3.083,8.125,10.29
atpI_cd,0.085,0.081,0.0808,2.901,9.504,9.288
ccsA_cd,0.131,0.122,0.126,4.108,10.718,9.851
psbN_cd,0.006,0.00535,0.00851,0.673,2.002,2.026
petA_cd,0.033,0.0287,0.0364,4.57,8.955,9.847
psbF_cd,0.0001,5.19e-05,9.22e-05,0.929,0.952,0.908
rpl33_cd,0.002,0.00158,0.0019,1.153,2.833,2.89
rpl32_cd,0.0001,5.3e-05,0.000127,1.542,3.466,3.758
atpB_cd,0.052,0.0472,0.0426,4.667,13.15,18.389
rpoB_cd,0.054,0.0559,0.0589,12.755,42.466,33.328
rps14_cd,0.093,0.0839,0.089,1.156,3.419,4.112
ndhD_cd,0,0.0608,0.0501,0.009,24.326,18.025
accD_cd,0.003,0.0047,0.00464,15.877,35.294,26.976
petL_cd,0.001,0.00307,0.00128,0.572,2.688,2.735
ndhH_cd,0,0.095,0.0952,0.01,10.959,11.642
atpF_cd,0.043,0.0461,0.046,2.377,6.688,6.19
rps15_cd,0.134,0.138,0.154,1.35,3.026,3.038
ycf2_cd,0,0.0765,0.0688,0.007,308.721,333.494
