gene,CONSEL_hypo0,IQTree_hypo0,IQTree2_hypo0,runtime_CONSEL,runtime_IQTree,runtime_IQTree2
psbA_ex,0.076,0.0699,0.0578,3.825,13.458,10.8
rps2_ex,0.04,0.0362,0.0415,3.528,9.13,11.78
rps4_ex,0.036,0.0367,0.0336,4.061,8.95,9.204
rps14_ex,0.053,0.0449,0.0464,1.357,4.269,3.609
ndhB_ex,0.08,0.0897,0.0833,6.998,13.231,22.086
psaJ_ex,0.023,0.0233,0.0233,1.112,1.219,2.214
petG_ex,5e-11,5.44e-07,6.57e-20,0.814,3.968,4.816
petN_ex,2e-07,8.72e-05,0.000162,0.647,1.813,2.176
clpP_ex,0.003,0.00199,0.00158,3.643,9.957,10.386
rps12_ex,0.014,0.0141,0.0142,1.912,3.312,4.091
psbL_ex,0.0003,4.54e-05,2.05e-05,0.731,2.662,3.666
ndhC_ex,0.017,0.016,0.0123,1.447,3.538,3.619
psbJ_ex,2e-08,1.59e-06,7.41e-05,0.584,3.582,3.98
psbC_ex,0.014,0.0156,0.0171,8.146,19.488,14.929
psaA_ex,0.255,0.266,0.249,9.171,25.493,20.268
psbT_ex,0.001,0.000352,0.000315,0.65,4.753,4.049
atpH_ex,0.007,0.00595,0.00589,0.909,2.52,6.517
rpl36_ex,6e-05,1.2e-06,1.27e-08,0.639,2.759,2.924
psbE_ex,0.016,0.0155,0.0103,1.7,3.978,3.719
psbZ_ex,0.009,0.0089,0.00576,1.035,1.943,2.498
ycf1_auto_ex,0.13,0.118,0.105,54.977,187.998,154.919
psbD_ex,5e-05,2.49e-05,1.41e-40,3.345,11.688,10.932
ccsA_ex,0.085,0.0865,0.0867,5.976,10.621,11.15
psaC_ex,0.002,0.00106,0.00305,1.062,2.983,3.092
atpA_ex,0.081,0.0854,0.0816,7.769,17.261,18.913
ndhF_ex,0.014,0.0183,0.0197,14.192,25.78,23.125
psbB_ex,0.259,0.267,0.256,5.265,13.713,15.593
accD_ex,0.186,0.196,0.195,20.444,28.07,25.137
rps18_ex,0.012,0.00989,0.0121,3.288,12.502,11.025
rpl2_ex,0.122,0.131,0.132,4.387,11.929,11.507
psbN_ex,0.005,0.00763,0.00666,0.829,2.957,3.126
ndhG_ex,0.041,0.0366,0.0403,2.595,7.54,6.13
atpI_ex,0.096,0.103,0.0886,2.093,12.617,9.557
psbK_ex,0.219,0.207,0.216,1.239,4.355,2.951
rpl20_ex,0.031,0.0282,0.031,2.742,6.106,4.121
ndhJ_ex,0.001,0.001,0.00117,2.036,5.93,5.244
petD_ex,0.023,0.0269,0.0286,2.563,7.827,5.565
rpl23_ex,0.015,0.0185,0.0143,1.464,5.454,4.83
psbI_ex,0.002,0.000936,0.000317,0.451,1.441,1.929
ycf2_auto_ex,0.027,0.0198,0.0251,44.082,325.221,293.212
rps7_ex,0.023,0.0273,0.0231,2.694,6.655,6.947
rbcL_ex,0.224,0.223,0.233,5.887,13.889,13.478
rps19_ex,0.028,0.0283,0.0236,2.043,9.312,9.029
petL_ex,0.002,0.000955,0.00206,0.745,3.054,3.486
ndhK_ex,0.346,0.35,0.336,3.402,9.572,9.002
psbM_ex,0.0005,5.44e-05,6.07e-06,0.703,2.706,2.745
ycf3_ex,0.208,0.201,0.2,2.27,5.525,5.606
rps16_ex,0.063,0.065,0.0655,1.92,6.211,7.02
rps11_ex,0.04,0.0394,0.0404,3.019,7.541,7.427
rps15_ex,0.057,0.0578,0.0592,1.53,5.209,4.234
petA_ex,0.039,0.0376,0.0392,5.712,11.787,11.643
rpoB_ex,0.181,0.155,0.172,18.385,58.431,55.485
ndhI_ex,0.119,0.112,0.109,3.345,7.892,8.284
rpl22_ex,0.014,0.0119,0.00967,4.292,8.469,8.313
psaI_ex,0.0002,0.000187,0.000486,0.714,3.032,2.878
rpoA_ex,0.028,0.0251,0.0241,7.288,21.152,17.745
psbF_ex,2e-07,5.33e-08,3.26e-06,0.803,1.383,1.271
rps8_ex,0.016,0.0163,0.0184,1.89,3.634,4.411
atpB_ex,0.059,0.0728,0.0613,6.197,19.677,18.676
ycf4_ex,0.026,0.0289,0.0264,2.187,6.642,9.022
petB_ex,0.05,0.0455,0.0547,3.331,7.861,7.003
rpl32_ex,0,0.00709,0.00351,0.006,5.581,4.503
atpE_ex,0.096,0.0959,0.0943,1.864,6.956,6.478
atpF_ex,0.026,0.0271,0.0301,2.475,7.661,7.285
rpl14_ex,0.021,0.022,0.0224,1.755,4.621,4.487
matK_ex,0.008,0.00641,0.00832,7.824,19.175,20.826
ndhD_ex,0.064,0.0686,0.0608,7.069,21.66,22.588
ndhA_ex,0.028,0.0299,0.0285,5.075,16.075,11.34
rpoC2_ex,0.229,0.239,0.241,18.645,65.041,88.813
rpl33_ex,0.001,0.00185,0.00106,1.59,3.043,4.178
psbH_ex,0.063,0.0556,0.0522,1.188,3.572,4.041
cemA_ex,0,0.161,0.17,0.015,9.811,10.873
ndhE_ex,0.015,0.0146,0.015,1.498,3.885,6.981
rpl16_ex,0.029,0.031,0.0309,2.696,6.133,6.871
psaB_ex,0.233,0.214,0.213,9.601,36.956,28.312
ndhH_ex,0.113,0.106,0.116,7.1,15.811,15.568
rpoC1_ex,0.178,0.165,0.17,9.245,31.777,39.248
rps3_ex,0.291,0.293,0.291,5.149,16.198,8.631
