gene,CONSEL_hypo0,IQTree_hypo0,IQTree2_hypo0,runtime_CONSEL,runtime_IQTree,runtime_IQTree2
psbA_ex,0.124,0.119,0.113,3.557,7.911,8.216
rps2_ex,0.061,0.0667,0.0707,2.937,8.949,7.704
rps4_ex,0.024,0.025,0.0286,3.881,8.332,7.497
rps14_ex,0.057,0.058,0.0521,1.751,4.116,3.305
ndhB_ex,0.089,0.0996,0.084,6.819,13.314,11.806
psaJ_ex,2e-10,0.00245,0.00144,0.5,3.423,3.699
petG_ex,4e-13,7.09e-09,1.28e-05,0.447,1.102,1.375
petN_ex,0.001,0.000616,0.002,0.364,0.545,0.576
clpP_ex,0.002,0.00128,0.000673,2.054,6.226,6.772
rps12_ex,0.012,0.0118,0.0126,1.074,2.275,2.345
psbL_ex,0.003,0.003,0.00209,0.471,0.588,0.635
ndhC_ex,0.019,0.0187,0.0126,1.049,2.748,2.742
psbJ_ex,5e-05,7.14e-06,4.54e-05,0.458,1.567,2.416
psbC_ex,0.015,0.0173,0.0174,8.128,12.313,12.34
psaA_ex,0.253,0.251,0.239,12.434,20.982,22.948
psbT_ex,0.001,0.000962,0.000545,0.597,2.898,2.645
atpH_ex,0.017,0.0145,0.0178,1.143,3.491,3.637
rpl36_ex,0.001,0.000623,0.000304,0.8,2.009,2.062
psbE_ex,0.001,0.000342,0.000739,1.304,2.963,2.913
psbZ_ex,0.002,0.00122,0.00112,0.631,1.141,1.384
ycf1_auto_ex,0.113,0.107,0.119,45.71,173.952,151.917
psbD_ex,6e-126,8.41e-35,2.75e-06,3.787,10.708,9.615
ccsA_ex,0.092,0.0945,0.0932,3.249,9.751,8.91
psaC_ex,0.005,0.00305,0.00467,0.9,2.234,2.776
atpA_ex,0.079,0.0815,0.0805,5.282,15.233,13.988
ndhF_ex,0.016,0.014,0.0147,8.856,21.827,22.756
psbB_ex,0.219,0.231,0.229,6.045,12.5,9.5
accD_ex,0.094,0.09,0.0874,9.615,24.53,27.007
rps18_ex,0.076,0.0845,0.0821,4.882,13.768,12.531
rpl2_ex,0.158,0.147,0.144,3.441,10.504,9.296
psbN_ex,0.007,0.00509,0.00711,0.683,2.097,2.151
ndhG_ex,0.04,0.0339,0.0354,2.176,6.245,6.767
atpI_ex,0.094,0.0865,0.103,2.87,9.613,8.719
psbK_ex,0.182,0.189,0.191,0.93,3.023,2.773
rpl20_ex,0.013,0.00845,0.0128,2.154,5.399,6.043
ndhJ_ex,0.001,0.0012,0.000827,1.938,5.361,5.97
petD_ex,0.027,0.0208,0.0239,3.138,5.984,5.395
rpl23_ex,0.015,0.0226,0.0172,2.15,6.361,6.83
psbI_ex,0.0003,4.37e-05,0.000388,0.792,2.032,2.175
ycf2_auto_ex,0.018,0.0202,0.0233,39.308,412.353,292.073
rps7_ex,0.02,0.0223,0.0201,2.2,5.78,5.277
rbcL_ex,0.004,0.00604,0.00493,4.585,9.557,11.054
rps19_ex,0.015,0.0148,0.0134,1.792,5.986,6.204
petL_ex,0.001,0.00127,0.000626,0.527,2.719,2.715
ndhK_ex,0.333,0.307,0.317,3.123,7.541,7.495
psbM_ex,1e-11,1.23e-05,6.14e-08,0.738,3.059,2.056
ycf3_ex,0.164,0.153,0.17,2.055,5.458,5.578
rps16_ex,0.066,0.0731,0.0684,0.994,4.316,5.219
rps11_ex,0.032,0.0275,0.0229,2.22,5.686,6.088
rps15_ex,0.074,0.0861,0.0872,1.733,3.239,3.187
petA_ex,0.041,0.0391,0.042,3.035,9.721,8.846
rpoB_ex,0.163,0.173,0.185,11.942,38.802,32.882
ndhI_ex,0.062,0.0585,0.06,2.495,5.836,5.01
rpl22_ex,0.016,0.0156,0.0129,1.985,5.726,6.654
psaI_ex,0.002,0.000874,0.000755,0.799,2.48,2.236
rpoA_ex,0.028,0.0269,0.0286,4.692,15.601,15.449
psbF_ex,4e-09,9.45e-13,3.95e-07,0.656,1.195,1.219
rps8_ex,0.014,0.0137,0.0195,2.215,4.544,3.653
atpB_ex,0.06,0.0626,0.058,3.735,14.486,17.608
ycf4_ex,0.008,0.00925,0.00793,3.224,7.067,6.694
petB_ex,0.057,0.0598,0.0595,3.92,6.703,6.45
rpl32_ex,0,0.00397,0.00357,0.005,4.738,4.821
atpE_ex,0.087,0.0922,0.0817,1.715,5.012,4.742
atpF_ex,0.027,0.0281,0.0247,3.129,6.7,6.335
rpl14_ex,0.021,0.0205,0.0216,1.964,4.26,3.943
matK_ex,0.006,0.00564,0.00878,7.463,17.98,18.072
ndhD_ex,0.056,0.0606,0.0607,4.857,15.276,17.495
ndhA_ex,0.03,0.0319,0.0344,5.949,10.393,12.691
rpoC2_ex,0.231,0.239,0.223,14.629,51.661,55.696
rpl33_ex,0.003,0.000755,0.000599,1.524,3.388,3.242
psbH_ex,0.042,0.0476,0.0479,1.04,5.332,5.797
cemA_ex,0,0.182,0.166,0.006,9.389,10.434
ndhE_ex,0.006,0.0051,0.0101,1.36,3.259,3.913
rpl16_ex,0.03,0.0328,0.0321,2.407,3.841,3.333
psaB_ex,0.135,0.128,0.13,10.512,28.99,25.424
ndhH_ex,0.097,0.116,0.105,6.204,12.207,10.838
rpoC1_ex,0.17,0.171,0.179,9.666,29.52,27.964
rps3_ex,0.231,0.23,0.232,2.779,14.799,10.331
