gene,CONSEL_hypo0,IQTree_hypo0,IQTree2_hypo0,CONSEL_hypo1,IQTree_hypo1,IQTree2_hypo1,CONSEL_hypo2,IQTree_hypo2,IQTree2_hypo2,CONSEL_hypo3,IQTree_hypo3,IQTree2_hypo3,runtime_CONSEL,runtime_IQTree,runtime_IQTree2
rps14,0.072,0.0465,0.0498,0.003,0.0164,0.023,0.072,0.0458,0.0492,0.072,0.0458,0.0492,0.968,2.338,2.248
psaA,0.051,0.059,0.0514,0.051,0.0617,0.0515,0.001,0.00144,0.0108,0.001,0.00733,0.00943,6.655,21.449,18.896
ndhG,0.026,0.026,0.0283,0.106,0.106,0.108,0.106,0.106,0.108,0.106,0.106,0.108,1.819,3.859,4.046
concatenated_125spp,6e-06,6.88e-07,9.26e-09,0.475,0.479,0.501,0.605,0.625,0.618,0.605,0.625,0.618,285.265,2774.52,2526.242
petL,0.009,0.0114,0.00771,0.009,0.0216,0.026,0.039,0.042,0.043,0.039,0.042,0.043,0.505,0.64,0.753
rps11,0.131,0.125,0.138,0.003,0.124,0.138,0.003,0.124,0.138,0.003,0.124,0.138,1.413,1.972,1.999
cemA,0.0002,0.000382,3.1e-05,0.001,0.000548,0.000601,0.001,0.000543,0.000507,0.001,0.000543,0.000507,1.982,4.759,5.293
psaC,0.064,0.0627,0.0636,0.021,0.0038,0.012,0.021,0.0227,0.0088,0.021,0.0151,0.0206,1.341,3.781,4.04
rps18,0.026,0.167,0.161,0.202,0.216,0.191,0.202,0.128,0.191,0.202,0.216,0.191,1.575,2.584,2.417
petB,0.006,0.00678,0.00398,0.152,0.127,0.145,0.152,0.127,0.145,0.152,0.127,0.145,9.061,26.129,28.163
rpl22,0.005,0.00525,0.00647,0.006,0.00608,0.00706,0.006,0.00608,0.00706,0.006,0.00608,0.00706,2.22,4.536,4.192
rps7,0.035,0.0335,0.0349,0.035,0.0335,0.0349,0.035,0.0335,0.0349,0.035,0.0335,0.0349,2.16,0.96,0.905
ndhJ,0.009,0.00461,0.00478,0.045,0.0339,0.0315,0.045,0.0339,0.0315,0.045,0.0339,0.0315,2.216,4.597,4.437
