gene,CONSEL_hypo0,IQTree_hypo0,IQTree2_hypo0,CONSEL_hypo1,IQTree_hypo1,IQTree2_hypo1,CONSEL_hypo2,IQTree_hypo2,IQTree2_hypo2,CONSEL_hypo3,IQTree_hypo3,IQTree2_hypo3,runtime_CONSEL,runtime_IQTree,runtime_IQTree2
rps14,0.058,0.0489,0.0528,0.003,0.0193,0.032,0.058,0.0489,0.0523,0.058,0.0489,0.0523,1.527,2.851,2.944
psaA,0.053,0.0523,0.0503,0.053,0.0568,0.0508,0.003,0.00631,0.00308,0.003,0.00824,0.00808,13.738,24.374,21.755
ndhG,0.031,0.0286,0.0229,0.112,0.113,0.101,0.112,0.113,0.101,0.112,0.113,0.101,2.308,4.777,4.987
concatenated_125spp,0.0004,3.19e-06,4.35e-09,0.485,0.488,0.502,0.595,0.62,0.609,0.595,0.62,0.609,384.803,2747.638,2236.193
petL,0.012,0.00919,0.019,0.012,0.0276,0.000222,0.046,0.0442,0.0405,0.046,0.0442,0.0405,0.855,0.943,0.941
rps11,0.142,0.133,0.149,0.004,0.133,0.15,0.004,0.133,0.15,0.004,0.133,0.15,1.996,2.878,2.856
cemA,0.0003,7.13e-05,0.000114,0.0003,0.000112,0.000361,0.0003,0.000148,0.000339,0.0003,0.000148,0.000339,3.604,5.011,5.32
psaC,0.067,0.067,0.0641,0.067,0.0173,0.063,0.067,0.0223,0.0102,0.067,0.0154,0.0245,1.234,3.408,3.318
rps18,0.03,0.16,0.151,0.188,0.198,0.19,0.188,0.198,0.19,0.188,0.198,0.19,1.273,1.854,1.765
petB,0.005,0.00826,0.00492,0.161,0.143,0.146,0.161,0.143,0.146,0.161,0.143,0.146,7.581,23.272,24.248
rpl22,0.004,0.00644,0.00572,0.005,0.00647,0.00567,0.005,0.00647,0.00567,0.005,0.00551,0.00567,3.262,4.696,4.475
rps7,0.031,0.0283,0.0337,0.031,0.0283,0.0337,0.031,0.0283,0.0337,0.031,0.0283,0.0337,2.204,0.903,0.782
ndhJ,0.005,0.00648,0.00461,0.033,0.0303,0.0339,0.033,0.0303,0.0339,0.033,0.0303,0.0339,2.993,4.67,4.392
psbA,0.021,0.0193,0.018,0.093,0.084,0.0831,0.093,0.0841,0.0831,0.093,0.0841,0.0831,6.211,9.881,8.556
rpl32,2e-05,0.00988,0.0128,2e-06,0.00951,0.0132,0.012,0.00951,0.013,0.012,0.00951,0.013,0.761,2.555,3.009
ndhH,0.15,0.148,0.146,0.04,0.0313,0.0332,0.04,0.0313,0.0332,0.04,0.031,0.0332,4.478,8.88,8.343
rbcL,0.039,0.0364,0.0348,0.001,0.00776,0.00705,0.005,0.0073,0.00709,0.005,0.0077,0.00527,9.078,14.813,13.549
matK,0.012,0.0164,0.0145,0.214,0.222,0.233,0.214,0.222,0.232,0.214,0.222,0.232,9.512,23.702,20.424
rpl2,0.014,0.0121,0.00907,0.122,0.118,0.114,0.122,0.118,0.114,0.122,0.118,0.114,8.893,4.491,4.224
ndhI,0.0001,5.77e-05,0.00057,0.0001,0.000234,0.000555,0.0001,0.000396,0.00014,0.0001,0.000396,0.00014,3.134,5.363,5.282
rpl14,0.026,0.0401,0.0442,0.038,0.0409,0.045,0.038,0.0409,0.045,0.038,0.0407,0.0453,2.313,3.103,2.736
ycf4,0.005,0.00654,0.00513,0.015,0.0172,0.0156,0.015,0.0173,0.0156,0.015,0.0172,0.0156,2.41,2.873,3.395
psbE,0.155,0.17,0.174,0.155,0.17,0.12,0.155,0.17,0.174,0.155,0.162,0.166,1.269,0.792,0.759
psbC,0.025,0.0249,0.0264,0.535,0.519,0.522,0.535,0.52,0.522,0.535,0.52,0.522,5.032,12.312,17.06
