gene,CONSEL_hypo0,IQTree_hypo0,IQTree2_hypo0,runtime_CONSEL,runtime_IQTree,runtime_IQTree2
psbA_ex,0.072,0.0657,0.0598,2.125,4.438,4.226
rps2_ex,0.04,0.0394,0.0393,1.67,5.058,7.11
rps4_ex,0.031,0.0343,0.0317,4.368,7.572,7.103
rps14_ex,0.055,0.0479,0.0455,0.961,3.362,3.8
ndhB_ex,0.068,0.0758,0.0649,7.305,13.531,15.398
psaJ_ex,0.021,0.0201,0.0249,0.795,0.882,0.815
petG_ex,4e-07,2.27e-09,5.71e-05,0.427,1.24,1.397
petN_ex,8e-07,4.72e-06,2.87e-06,0.361,0.569,0.947
clpP_ex,0.002,0.000887,0.00122,2.834,8.08,8.152
rps12_ex,0.018,0.0225,0.0183,1.435,3.272,3.032
psbL_ex,3e-05,3.76e-05,6.53e-05,0.569,2.135,2.185
ndhC_ex,0.015,0.0134,0.0149,1.314,3.45,3.737
psbJ_ex,6e-08,7.93e-09,3.63e-08,0.639,1.416,1.382
psbC_ex,0.017,0.0157,0.0172,4.925,10.83,10.203
psaA_ex,0.256,0.265,0.248,7.308,17.371,15.904
psbT_ex,5e-05,0.000553,0.000334,0.414,1.908,2.139
atpH_ex,0.009,0.00524,0.00517,0.733,2.467,2.897
rpl36_ex,5e-06,0.00069,1.68e-08,0.566,1.723,1.839
psbE_ex,0.016,0.02,0.0155,1.135,2.831,2.786
psbZ_ex,0.009,0.00695,0.00554,0.966,2.033,2.207
ycf1_auto_ex,0.116,0.115,0.11,40.301,133.654,142.229
psbD_ex,3e-29,0.000224,5.94e-146,3.883,10.457,11.073
ccsA_ex,0.09,0.087,0.0862,4.181,10.289,11.198
psaC_ex,0.002,0.0028,0.00208,1.38,3.026,2.859
atpA_ex,0.084,0.0775,0.0778,5.48,17.642,18.844
ndhF_ex,0.016,0.0156,0.0136,9.494,20.879,23.037
psbB_ex,0.262,0.251,0.261,5.346,12.44,12.046
accD_ex,0.197,0.2,0.205,16.931,24.871,23.81
rps18_ex,0.015,0.0138,0.00945,4.364,11.433,8.873
rpl2_ex,0.119,0.124,0.121,3.088,8.794,9.974
psbN_ex,0.007,0.00651,0.00562,0.472,1.202,1.354
ndhG_ex,0.038,0.035,0.0364,1.471,4.309,3.805
atpI_ex,0.093,0.0957,0.0905,2.788,9.181,8.738
psbK_ex,0.212,0.215,0.212,0.862,2.047,2.711
rpl20_ex,0.032,0.032,0.0273,2.971,5.428,5.681
ndhJ_ex,0.002,0.000627,0.000998,2.656,4.641,3.657
petD_ex,0.028,0.0264,0.0206,2.872,5.3,5.161
rpl23_ex,0.021,0.0187,0.0165,1.976,6.161,4.905
psbI_ex,0.0002,0.000169,0.000663,0.682,1.655,2.101
ycf2_auto_ex,0.025,0.0225,0.0189,31.222,260.544,267.167
rps7_ex,0.019,0.0251,0.0225,2.24,6.227,5.922
rbcL_ex,0.226,0.225,0.22,7.888,12.601,10.747
rps19_ex,0.019,0.0199,0.0251,1.868,7.932,7.185
petL_ex,0.002,0.00164,0.00114,0.58,2.652,2.795
ndhK_ex,0.346,0.358,0.352,3.039,8.444,8.096
psbM_ex,0.0002,5.65e-05,0.000329,0.868,2.241,2.422
ycf3_ex,0.214,0.204,0.199,2.07,6.266,6.547
rps16_ex,0.069,0.0609,0.0613,1.414,5.409,4.668
rps11_ex,0.043,0.0408,0.045,1.627,4.309,5.431
rps15_ex,0.064,0.0579,0.0514,1.685,2.548,2.473
petA_ex,0.038,0.0376,0.042,2.905,9.632,8.965
rpoB_ex,0.15,0.172,0.182,11.526,38.912,35.593
ndhI_ex,0.114,0.127,0.124,2.106,4.281,5.282
rpl22_ex,0.01,0.0116,0.0135,2.812,5.767,5.342
psaI_ex,0.0002,0.000327,0.000472,0.527,1.632,1.604
rpoA_ex,0.026,0.0283,0.0334,3.141,14.498,18.197
psbF_ex,1e-05,1.65e-08,1.28e-10,0.689,1.172,1.242
rps8_ex,0.018,0.0168,0.0154,2.438,4.26,3.964
atpB_ex,0.058,0.0588,0.0644,5.571,18.615,13.929
ycf4_ex,0.026,0.0214,0.028,2.005,4.989,6.492
petB_ex,0.048,0.0497,0.0496,2.547,6.499,4.893
rpl32_ex,0,0.00357,0.0047,0.005,3.743,4.323
atpE_ex,0.086,0.0834,0.0934,1.682,4.723,4.765
atpF_ex,0.029,0.0265,0.0322,2.982,6.001,6.576
rpl14_ex,0.022,0.0253,0.0212,1.432,3.589,4.598
matK_ex,0.006,0.00919,0.0061,5.01,17.619,18.534
ndhD_ex,0.058,0.0622,0.0567,5.69,15.367,17.071
ndhA_ex,0.031,0.0278,0.0351,4.066,11.038,10.042
rpoC2_ex,0.242,0.229,0.241,15.333,50.495,51.223
rpl33_ex,0.001,0.000846,0.00053,0.804,2.229,2.509
psbH_ex,0.054,0.0544,0.0476,0.746,2.026,2.261
cemA_ex,0,0.161,0.169,0.005,7.901,8.215
ndhE_ex,0.016,0.0161,0.0165,1.792,3.52,3.207
rpl16_ex,0.03,0.0285,0.0285,2.624,4.968,4.85
psaB_ex,0.21,0.224,0.223,9.857,20.347,21.82
ndhH_ex,0.104,0.108,0.0973,6.059,8.874,10.953
rpoC1_ex,0.172,0.181,0.174,7.913,22.549,22.397
rps3_ex,0.278,0.28,0.307,5.066,8.666,8.976
