gene,CONSEL_hypo0,IQTree_hypo0,IQTree2_hypo0,runtime_CONSEL,runtime_IQTree,runtime_IQTree2
ndhE_cd,0.031,0.0214,0.0213,1.558,2.387,2.166
ndhB_cd,0,0.0401,0.0378,0.005,13.366,14.169
ndhA_cd,0.05,0.0406,0.045,5.638,12.537,17.911
psbK_cd,0.153,0.154,0.158,1.146,3.835,2.263
rps16_cd,0.046,0.0445,0.0422,1.613,6.266,5.294
ndhG_cd,0.042,0.0416,0.0391,3.061,5.95,4.382
rps18_cd,0.097,0.0862,0.0905,4.852,17.414,17.33
ndhI_cd,0.023,0.0201,0.0223,2.603,4.64,5.004
atpH_cd,0.006,0.0064,0.0051,1.578,4.05,4.399
psbZ_cd,0.009,0.00611,0.00858,0.869,2.384,3.036
ndhJ_cd,0.001,0.000869,0.00163,2.534,5.085,4.308
rpoC1_cd,0.106,0.119,0.113,7.29,21.808,32.95
psbH_cd,0.135,0.135,0.124,1.469,3.875,3.274
petN_cd,0.0003,0.000831,0.00104,0.428,0.93,0.778
rps4_cd,0.021,0.0194,0.0199,2.227,8.982,7.485
rpl36_cd,9e-06,2.93e-06,1.67e-07,0.548,1.586,1.352
rbcL_cd,0.009,0.0109,0.0128,4.973,13.583,11.534
psbE_cd,0.001,0.00249,0.00131,1.265,2.144,2.797
psbC_cd,0.012,0.0125,0.0147,5.983,11.888,11.262
psbJ_cd,0.0002,1.12e-23,2.21e-06,0.643,1.88,1.749
rpl2_cd,0.19,0.181,0.182,3.639,15.182,17.789
matK_cd,0.015,0.0155,0.0122,7.299,18.393,20.6
clpP_cd,0.002,0.00153,0.00251,4.585,12.205,12.977
rpl22_cd,0.003,0.00483,0.00279,3.531,9.911,8.284
rps19_cd,0.023,0.0218,0.02,2.9,9.716,7.049
rps7_cd,0.011,0.0113,0.0129,2.491,10.873,8.646
psaC_cd,0.002,0.00302,0.00419,1.164,3.623,3.409
psbL_cd,3e-05,0.000516,0.000178,0.627,1.948,2.526
ndhF_cd,0.031,0.0358,0.03,12.667,26.3,18.464
psaA_cd,0.224,0.251,0.226,5.7,15.243,17.506
rps11_cd,0.023,0.017,0.0218,2.891,6.882,7.092
rpoA_cd,0.013,0.0108,0.0106,7.198,19.701,17.849
ndhC_cd,0.022,0.0248,0.019,2.16,4.807,5.422
psbI_cd,0.001,0.000226,8.51e-05,0.739,2.412,2.426
rps2_cd,0,0.053,0.0621,0.013,13.214,11.305
ycf1_cd,0.205,0.211,0.203,75.703,162.754,142.676
psbM_cd,0.0003,0.000472,0.000453,0.912,2.661,2.603
petD_cd,0.021,0.026,0.0277,2.331,5.226,4.294
rpl16_cd,0.03,0.0376,0.0313,1.82,4.767,3.986
atpA_cd,0.092,0.0914,0.0797,5.877,16.416,15.039
rps3_cd,0.201,0.189,0.194,3.625,8.099,7.618
rpl20_cd,0.019,0.02,0.0144,2.243,6.387,7.372
rpl23_cd,0.014,0.0183,0.0163,1.603,5.942,6.84
rpoC2_cd,0,0.265,0.266,0.006,59.284,51.761
ycf4_cd,0.029,0.0323,0.0327,2.255,6.762,6.815
ycf3_cd,0,0.184,0.177,0.005,7.017,5.023
rpl14_cd,0.017,0.0222,0.0194,1.328,4.357,4.437
petG_cd,4e-45,1.6e-06,1.15e-12,0.53,1.189,1.45
cemA_cd,0.161,0.165,0.157,3.561,7.605,9.763
psbB_cd,0.233,0.235,0.219,4.784,13.963,11.925
rps8_cd,0.01,0.012,0.0111,1.698,4.497,4.715
psaJ_cd,7e-06,0.00187,0.00417,0.923,3.587,3.216
rps12_cd,0.011,0.00987,0.0082,1.389,2.295,3.27
atpE_cd,0.07,0.0598,0.0545,2.537,5.287,5.311
psbT_cd,0.001,0.000868,0.00068,0.581,2.551,2.249
psbA_cd,0.032,0.0361,0.0347,3.625,9.871,8.371
petB_cd,0.077,0.0787,0.0781,2.639,8.075,7.437
psaI_cd,0.002,0.00296,0.00398,0.659,2.206,2.381
psaB_cd,0.134,0.128,0.146,8.018,17.083,23.663
psbD_cd,1e-67,4.75e-05,6.25e-122,5.653,10.448,10.841
ndhK_cd,0.298,0.296,0.301,3.822,9.117,10.517
atpI_cd,0.073,0.0756,0.0712,2.701,8.763,10.882
ccsA_cd,0.12,0.116,0.12,5.214,11.412,8.088
psbN_cd,0.006,0.00706,0.00361,0.498,1.267,1.513
petA_cd,0.031,0.033,0.0309,2.652,9.51,10.302
psbF_cd,1e-07,1.92e-13,1.52e-14,0.745,0.987,0.946
rpl33_cd,0.001,0.000686,0.00107,1.1,3.534,2.582
rpl32_cd,9e-05,3.35e-05,4.63e-05,2.021,3.443,3.441
atpB_cd,0.048,0.0465,0.0524,5.586,18.985,19.317
rpoB_cd,0.06,0.0591,0.056,14.526,45.352,36.708
rps14_cd,0.087,0.0871,0.095,1.294,3.941,3.551
ndhD_cd,0,0.0504,0.0473,0.006,18.881,17.281
accD_cd,0.004,0.0023,0.0038,16.321,33.948,31.242
petL_cd,0.002,0.00186,0.00199,0.6,2.952,3.087
ndhH_cd,0,0.0944,0.0979,0.007,11.478,13.694
atpF_cd,0.042,0.0358,0.0363,3.359,7.008,6.363
rps15_cd,0.145,0.131,0.137,1.461,3.343,3.29
ycf2_cd,0,0.07,0.0767,0.009,315.699,242.012
