gene,CONSEL_hypo0,IQTree_hypo0,IQTree2_hypo0,CONSEL_hypo1,IQTree_hypo1,IQTree2_hypo1,CONSEL_hypo2,IQTree_hypo2,IQTree2_hypo2,CONSEL_hypo3,IQTree_hypo3,IQTree2_hypo3,runtime_CONSEL,runtime_IQTree,runtime_IQTree2
rps14,0.064,0.0518,0.0517,0.064,0.0249,0.025,0.064,0.0518,0.0517,0.064,0.0518,0.0517,2.261,3.147,2.99
psaA,0.055,0.054,0.0539,0.055,0.054,0.0546,0.003,0.0071,0.0539,0.003,0.0172,0.0539,9.79,25.11,23.111
ndhG,0.033,0.0316,0.0305,0.124,0.126,0.108,0.124,0.126,0.108,0.124,0.126,0.108,2.335,5.07,5.585
concatenated_125spp,4e-06,9.64e-09,1.69e-09,0.485,0.495,0.5,0.579,0.622,0.615,0.579,0.622,0.615,388.372,2694.844,2425.236
petL,0.014,0.0127,0.0136,0.014,0.0122,0.00869,0.047,0.0412,0.049,0.047,0.0412,0.049,0.999,1.022,0.964
rps11,0.133,0.122,0.144,0.003,0.122,0.145,0.003,0.122,0.145,0.003,0.122,0.145,1.895,2.763,2.597
cemA,2e-05,0.000129,8.04e-05,0.0002,0.00016,0.000404,0.0002,0.000156,0.000404,0.0002,0.000156,0.000404,2.638,3.876,5.139
psaC,0.061,0.0665,0.0655,0.021,0.0109,0.018,0.021,0.038,0.0294,0.021,0.025,0.0136,1.748,3.549,3.524
rps18,0.036,0.148,0.174,0.199,0.182,0.204,0.199,0.182,0.0454,0.199,0.182,0.204,1.55,2.364,2.265
petB,0.005,0.00695,0.00434,0.128,0.155,0.135,0.128,0.155,0.135,0.128,0.155,0.135,5.213,23.671,27.438
rpl22,0.004,0.00481,0.00428,0.004,0.00488,0.00404,0.004,0.00488,0.00404,0.004,0.00488,0.00404,3.114,3.72,2.437
rps7,0.036,0.0317,0.0327,0.036,0.0317,0.0327,0.036,0.0317,0.0327,0.036,0.0317,0.0327,1.323,0.488,0.534
ndhJ,0.004,0.0113,0.0059,0.036,0.0352,0.0375,0.036,0.0352,0.0375,0.036,0.0352,0.0375,1.333,2.678,2.566
psbA,0.021,0.0195,0.0209,0.092,0.0882,0.0925,0.092,0.0882,0.0925,0.092,0.0882,0.0925,2.644,5.907,5.437
rpl32,0.002,0.0121,0.0142,7e-21,0.0123,0.0144,0.012,0.00862,0.00739,0.012,0.00389,0.00792,0.672,1.583,2.026
ndhH,0.135,0.156,0.148,0.031,0.0395,0.0346,0.031,0.0395,0.0346,0.031,0.0395,0.0346,3.161,6.29,7.955
rbcL,0.039,0.0294,0.0387,0.001,0.00691,0.00643,0.005,0.00691,0.00647,0.005,0.00691,0.00647,3.58,9.074,8.629
matK,0.017,0.0158,0.0235,0.22,0.228,0.236,0.22,0.228,0.235,0.22,0.228,0.235,4.038,15.31,16.002
rpl2,0.015,0.0159,0.0132,0.126,0.131,0.122,0.126,0.131,0.122,0.126,0.131,0.122,3.898,2.88,2.793
ndhI,9e-05,0.000122,0.00011,0.0002,0.000506,0.000106,0.0002,0.000451,0.000475,0.0002,0.000451,0.000475,1.476,3.314,3.441
rpl14,0.028,0.041,0.0371,0.039,0.0405,0.0371,0.039,0.0405,0.037,0.039,0.0405,0.0363,1.363,1.96,2.338
ycf4,0.004,0.0037,0.00569,0.018,0.0198,0.018,0.018,0.0194,0.0179,0.018,0.0198,0.018,1.688,2.542,2.373
psbE,0.166,0.186,0.168,0.166,0.0336,0.168,0.166,0.186,0.168,0.166,0.178,0.157,0.88,0.445,0.479
psbC,0.021,0.0265,0.0228,0.532,0.534,0.506,0.532,0.535,0.506,0.532,0.535,0.506,3.676,9.017,10.753
rpoA,0.005,0.00434,0.00471,0.021,0.0142,0.0228,0.021,0.0141,0.0224,0.021,0.0143,0.0228,2.676,11.112,11.524
ccsA,2e-05,5.7e-05,7.49e-05,0.0002,1.32e-06,2.48e-05,0.0002,1.32e-06,2.48e-05,0.0002,1.32e-06,2.48e-05,2.583,8.13,8.495
rps15,0.055,0.0682,0.0624,0.055,0.0693,0.0612,0.055,0.0693,0.0612,0.055,0.0693,0.0612,0.928,1.62,1.741
ndhC,0.017,0.0193,0.0169,0.016,0.0184,0.0141,0.016,0.0182,0.0139,0.016,0.0182,0.0139,1.202,1.795,1.917
psbK,8e-08,7.66e-17,6.77e-07,8e-08,7.65e-17,6.78e-07,0.057,0.0411,0.0517,0.057,0.0474,0.0521,0.713,0.893,0.909
rps19,0.002,0.00274,0.00348,0.007,0.00933,0.0109,0.007,0.00948,0.0106,0.007,0.00933,0.0109,0.935,1.402,1.598
ycf1,0.011,0.00794,0.0114,0.021,0.0204,0.0199,0.021,0.0204,0.0195,0.021,0.0204,0.0199,20.916,205.714,187.835
rps12,0.085,0.0789,0.0877,0.085,0.079,0.088,0.085,0.079,0.088,0.085,0.079,0.088,2.328,1.143,1.263
psbD,0.018,0.014,0.016,0.018,0.0141,0.0162,0.018,0.0141,0.0162,0.018,0.0141,0.0162,2.761,2.576,2.743
rpoC2,0.001,0.00139,0.000636,0.002,0.00213,0.00182,0.002,0.00188,0.00182,0.002,0.00188,0.00127,9.369,61.081,59.608
psbH,0.088,0.0923,0.084,0.041,0.0919,0.0848,0.041,0.0919,0.0848,0.041,0.0919,0.0848,0.716,0.859,0.94
psbJ,4e-09,7.89e-05,9.75e-12,4e-09,7.89e-05,9.72e-12,4e-09,7.89e-05,9.72e-12,4e-09,7.88e-05,9.71e-12,0.521,0.652,0.718
ndhB,0.002,0.00193,0.00183,0.007,0.00773,0.00564,0.007,0.00773,0.00561,0.007,0.00773,0.00561,5.506,2.829,2.826
rpoB,0.03,0.0268,0.0222,0.282,0.273,0.258,0.282,0.273,0.258,0.282,0.273,0.258,7.393,33.112,25.417
rpl33,0.066,0.0671,0.061,0.066,0.0671,0.061,0.075,0.0737,0.0705,0.075,0.0737,0.0703,0.692,1.567,1.615
clpP,0.001,0.00139,0.000701,0.042,0.0445,0.049,0.043,0.0443,0.0487,0.043,0.0442,0.0487,4.546,17.234,16.415
ycf2,0.012,0.0127,0.013,0.385,0.389,0.387,0.385,0.389,0.387,0.385,0.389,0.387,15.767,80.615,71.479
petD,0.003,0.00292,0.00495,0.029,0.0259,0.0309,0.029,0.0259,0.0309,0.029,0.0259,0.0309,3.333,11.31,12.624
psbI,1e-05,9.84e-06,5.11e-06,1e-05,9.84e-06,3.84e-06,1e-05,9.84e-06,3.84e-06,1e-05,9.84e-06,3.84e-06,0.473,0.265,0.289
ndhF,0.012,0.0125,0.0148,0.044,0.0373,0.0433,0.044,0.0373,0.0444,0.044,0.0373,0.0444,5.307,24.465,18.64
ndhD,0.003,0.00275,0.00233,0.015,0.0173,0.0151,0.015,0.0173,0.0151,0.015,0.0173,0.0151,3.61,12.114,11.732
psaI,0.001,0.00197,0.00223,0.001,0.00197,0.00223,0.001,0.00275,0.00263,0.001,0.00275,0.00263,0.482,0.507,0.582
psbT,1e-10,6.56e-64,1.85e-39,1e-10,1.12e-60,5.3e-39,1e-10,1.12e-60,5.3e-39,1e-10,1.12e-60,5.3e-39,0.458,0.303,0.332
atpI,0.055,0.0621,0.0563,0.259,0.263,0.27,0.259,0.263,0.269,0.259,0.263,0.269,2.036,2.415,2.401
rpl20,0.01,0.0106,0.0106,0.015,0.0161,0.0132,0.015,0.0161,0.0132,0.015,0.0161,0.0132,1.27,3.793,3.917
atpB,0.046,0.0399,0.0415,0.045,0.0406,0.0419,0.007,0.0405,0.042,0.007,0.0405,0.042,3.622,9.713,9.63
ndhA,9e-08,4.31e-08,1.71e-07,9e-08,4.32e-08,1.71e-07,1e-07,3.24e-08,5.16e-07,1e-07,3.24e-08,5.16e-07,6.41,51.249,37.721
rpoC1,0.022,0.0133,0.0151,0.06,0.0554,0.0484,2e-05,0.00784,0.00609,2e-05,0.00824,0.00517,6.874,32.788,28.557
atpA,0.152,0.145,0.139,0.152,0.145,0.139,0.075,0.0676,0.0638,0.075,0.0676,0.0638,3.651,10.177,13.65
psbM,0.008,0.00747,0.00688,0.008,0.00633,0.00365,0.008,0.00747,0.00688,0.008,0.00747,0.00688,0.458,0.332,0.395
rps3,0.258,0.291,0.282,0.144,0.137,0.125,0.144,1.54e-33,0.126,0.144,1.01e-53,0.126,1.655,4.374,5.457
rps8,0.014,0.0596,0.0541,0.056,0.0602,0.0541,0.014,0.0159,0.0183,0.014,0.0159,0.0183,1.17,2.696,3.299
atpH,0.006,0.00598,0.00663,0.006,0.00598,0.00663,0.01,0.00972,0.00968,0.01,0.00972,0.00968,0.805,0.554,0.611
ndhE,0.002,0.000503,0.000716,0.002,0.000551,0.000757,0.002,0.000535,0.000715,0.002,0.000551,0.000756,0.907,1.789,1.691
rps16,4e-05,4.11e-07,3.7e-07,7e-05,3.9e-06,7.38e-10,7e-05,3.9e-06,7.38e-10,7e-05,3.9e-06,7.38e-10,2.602,18.846,18.467
rps2,0.141,0.0792,0.0735,0.141,0.0799,0.0747,0.07,0.0791,0.0741,0.07,0.0791,0.0741,1.944,3.029,2.879
psbL,0.002,0.00283,0.00387,0.0004,0.000295,0.000287,0.0004,0.000295,0.000287,0.0004,0.000295,0.000287,0.524,0.312,0.313
rpl23,0.176,0.127,0.118,0.176,0.127,0.118,0.176,0.127,0.118,0.176,0.127,0.118,0.881,0.491,0.486
petG,0.099,0.0953,0.0961,0.099,0.0953,0.0961,0.099,0.0953,0.0961,0.099,0.0953,0.0961,0.51,0.292,0.349
ycf3,0.025,0.0363,0.025,0.024,0.0365,0.0248,0.025,0.0365,0.0248,0.025,0.0365,0.0248,4.589,19.293,24.522
atpE,0.363,0.339,0.321,0.38,0.416,0.386,0.38,0.416,0.386,0.38,0.416,0.386,1.184,2.108,2.447
psaB,3e-11,0.029,0.0297,0.036,0.0289,0.0301,0.036,0.029,0.03,0.036,0.029,0.0299,4.89,15.114,14.311
psbN,0.015,0.0205,0.0207,0.004,0.0205,0.0208,0.004,0.00467,0.00961,0.004,0.0205,0.0208,0.56,0.241,0.264
psaJ,0.012,0.0444,0.0422,0.012,0.0297,0.0201,0.047,0.0448,0.0418,0.047,0.0451,0.0415,0.582,0.444,0.443
rps4,0.28,0.184,0.169,3e-26,0.277,0.263,0.001,0.275,0.264,0.001,0.275,0.264,1.682,2.165,2.652
psbZ,2e-06,0.000363,0.00019,0.0002,0.000319,0.000197,0.0002,0.00035,0.000208,0.0002,0.000351,0.000175,0.747,0.746,0.89
rpl36,0.036,0.0351,0.032,0.006,0.0284,0.00401,0.006,0.0284,0.00401,0.006,0.0284,0.00401,0.525,0.841,0.932
accD,0.103,0.11,0.103,0.103,0.112,0.104,0.034,0.0356,0.023,0.034,0.0358,0.0227,3.566,12.437,12.079
atpF,0.145,0.15,0.111,0.13,0.128,0.143,0.131,0.128,0.143,0.131,0.128,0.143,3.191,9.371,7.908
ndhK,0.061,0.0622,0.067,0.061,0.0621,0.0675,0.061,0.0621,0.0675,0.061,0.0621,0.0675,2.221,2.173,2.613
psbB,0.019,0.023,0.0472,0.019,0.0327,0.0297,0.019,0.033,0.0304,0.019,0.0327,0.0297,3.721,10.906,13.56
petA,0.002,0.00377,0.00191,0.037,0.0353,0.0386,0.12,0.108,0.118,0.12,0.108,0.118,2.343,7.189,8.76
petN,0.422,0.424,0.434,0.422,0.423,0.434,0.422,0.423,0.434,0.422,0.423,0.434,0.474,0.244,0.259
psbF,0.018,0.0171,0.0191,0.018,0.0175,0.0188,0.018,0.0138,0.0188,0.018,0.0175,0.0188,0.524,0.2,0.22
rpl16,0.01,0.00699,0.00961,0.132,0.131,0.135,0.132,0.131,0.135,0.132,0.131,0.135,3.871,14.9,17.987
