gene,CONSEL_hypo0,IQTree_hypo0,IQTree2_hypo0,CONSEL_hypo1,IQTree_hypo1,IQTree2_hypo1,CONSEL_hypo2,IQTree_hypo2,IQTree2_hypo2,CONSEL_hypo3,IQTree_hypo3,IQTree2_hypo3,runtime_CONSEL,runtime_IQTree,runtime_IQTree2
rps14,0.141,0.141,0.137,0.005,0.142,0.137,0.141,0.143,0.137,0.141,0.143,0.137,0.859,1.324,1.339
psaA,0.06,0.0517,0.0571,0.059,0.0523,0.0578,0.059,0.0524,0.0581,0.059,0.0524,0.0581,5.053,12.528,18.944
ndhG,0.031,0.029,0.0324,0.104,0.105,0.104,0.104,0.105,0.105,0.104,0.105,0.105,1.438,3.223,3.204
concatenated_125spp,6e-05,7.8e-05,2.46e-06,0.478,0.492,0.483,0.581,0.55,0.581,0.581,0.55,0.581,268.759,2522.46,2374.352
petL,0.106,0.0942,0.109,0.105,0.0938,0.109,0.105,0.0939,0.109,0.105,0.0939,0.109,0.884,1.001,1.067
rps11,0.091,0.13,0.138,0.091,0.129,0.137,0.091,0.129,0.137,0.091,0.129,0.137,2.683,2.779,2.866
cemA,0.0002,8.97e-05,6.79e-05,0.001,0.000456,0.00105,0.001,0.000569,0.00103,0.001,0.000569,0.00103,2.761,5.072,4.805
psaC,0.088,0.0232,0.0273,0.088,0.000808,0.0714,0.088,0.0734,0.0722,0.088,0.0734,0.0722,1.25,3.547,3.733
rps18,0.184,4.72e-07,5.24e-62,0.184,0.202,0.19,0.184,0.202,0.19,0.184,0.202,0.19,1.469,2.409,2.443
petB,0.003,0.00593,0.00551,0.146,0.147,0.142,0.146,0.131,0.142,0.146,0.147,0.142,5.816,24.652,26.244
rpl22,0.004,0.00659,0.00636,0.005,0.00659,0.00636,0.005,0.00659,0.00636,0.005,0.00659,0.00636,3.093,4.601,4.293
rps7,0.008,0.0326,0.0299,0.008,0.0326,0.0299,0.008,0.0326,0.0299,0.008,0.0326,0.0299,2.938,0.991,0.931
ndhJ,0.008,0.0116,0.0155,0.06,0.0701,0.0602,0.06,0.0701,0.0602,0.06,0.0701,0.0602,3.071,4.764,4.59
psbA,0.012,0.00954,0.00908,0.132,0.13,0.133,0.132,0.128,0.133,0.132,0.128,0.133,6.372,10.273,9.582
rpl32,0.017,0.0103,0.018,0.016,0.0159,0.018,0.016,0.0163,0.0179,0.016,0.0163,0.0179,1.253,2.648,2.621
ndhH,0.143,0.142,0.148,0.036,0.0393,0.0362,0.036,0.0393,0.0362,0.036,0.0393,0.0362,4.814,10.641,10.263
