gene,CONSEL_hypo0,IQTree_hypo0,IQTree2_hypo0,runtime_CONSEL,runtime_IQTree,runtime_IQTree2
psbA_ex,0.119,0.125,0.12,5.174,9.012,9.907
rps2_ex,0.068,0.0652,0.0664,3.308,8.489,8.248
rps4_ex,0.03,0.0275,0.0238,3.922,7.494,7.789
rps14_ex,0.058,0.0598,0.0623,1.599,3.375,2.848
ndhB_ex,0.091,0.083,0.0811,5.631,13.365,12.411
psaJ_ex,7e-06,0.00176,0.00239,0.795,4.585,4.644
petG_ex,1e-17,6.54e-06,1.16e-05,0.713,1.654,1.929
petN_ex,0.001,0.00143,0.00182,0.481,0.84,0.761
clpP_ex,0.001,0.000892,0.000498,2.711,6.703,8.557
rps12_ex,0.012,0.0116,0.0128,1.58,3.316,3.312
psbL_ex,0.003,0.00238,0.00203,0.537,0.881,0.825
ndhC_ex,0.018,0.014,0.0163,1.032,2.72,2.76
psbJ_ex,4e-06,1.05e-07,0.000101,0.442,2.181,2.369
psbC_ex,0.015,0.0148,0.0156,5.057,11.291,11.482
psaA_ex,0.253,0.24,0.258,7.103,16.956,16.823
psbT_ex,0.0003,0.000484,0.000564,0.402,1.847,2.071
atpH_ex,0.019,0.0129,0.0186,0.734,2.087,2.354
rpl36_ex,0.001,0.000981,0.00119,0.417,1.183,1.342
psbE_ex,0.001,0.000982,0.00115,0.79,1.768,2.09
psbZ_ex,0.003,0.00137,0.00258,0.595,1.233,1.369
ycf1_auto_ex,0.128,0.119,0.126,61.751,192.015,146.992
psbD_ex,6e-46,7.27e-44,1.42e-46,5.743,9.635,10.406
ccsA_ex,0.093,0.0899,0.0904,4.125,8.711,8.363
psaC_ex,0.003,0.00281,0.00307,1.392,3.456,2.514
atpA_ex,0.079,0.0742,0.0843,7.427,13.851,13.938
ndhF_ex,0.013,0.0161,0.0145,9.842,23.452,23.771
psbB_ex,0.226,0.218,0.218,5.277,12.362,11.802
accD_ex,0.092,0.0992,0.097,14.569,25.103,22.316
rps18_ex,0.07,0.0787,0.087,2.971,11.83,10.637
rpl2_ex,0.148,0.148,0.145,2.951,8.053,6.87
psbN_ex,0.008,0.00681,0.00569,0.475,1.27,1.402
ndhG_ex,0.037,0.0348,0.04,1.473,4.106,4.695
atpI_ex,0.093,0.102,0.0924,1.969,6.623,8.255
psbK_ex,0.195,0.193,0.196,1.164,2.823,2.772
rpl20_ex,0.015,0.00874,0.00908,3.068,5.536,6.242
ndhJ_ex,0.001,0.00172,0.00155,2.819,5.591,6.196
petD_ex,0.033,0.0225,0.0252,3.186,5.986,5.196
rpl23_ex,0.014,0.017,0.0174,2.14,7.07,7.318
psbI_ex,0.001,0.000286,0.00048,0.778,1.986,2.11
ycf2_auto_ex,0.022,0.022,0.0275,35.059,289.897,244.475
rps7_ex,0.024,0.0215,0.0199,2.668,5.311,4.657
rbcL_ex,0.004,0.00273,0.00216,5.583,10.277,10.761
rps19_ex,0.015,0.0145,0.0173,1.283,5.205,5.875
petL_ex,0.001,0.00129,0.00146,0.693,2.517,2.431
ndhK_ex,0.317,0.311,0.32,2.973,7.853,7.42
psbM_ex,8e-07,2.06e-08,0.000577,0.704,2.152,2.28
ycf3_ex,0.151,0.143,0.165,1.978,5.318,5.925
rps16_ex,0.059,0.0607,0.0631,1.865,5.283,5.255
rps11_ex,0.034,0.0345,0.0365,2.662,5.722,6.327
rps15_ex,0.081,0.0838,0.0697,1.433,2.429,2.552
petA_ex,0.034,0.0329,0.0351,3.989,8.959,10.058
rpoB_ex,0.165,0.16,0.178,10.541,39.719,31.076
ndhI_ex,0.057,0.0633,0.0592,2.934,5.846,4.349
rpl22_ex,0.014,0.0173,0.0201,3.585,6.364,5.038
psaI_ex,0.001,0.00334,0.000493,0.61,2.074,2.163
rpoA_ex,0.026,0.0268,0.033,5.549,14.646,17.084
psbF_ex,8e-52,8.14e-08,0.000104,0.865,0.925,0.805
rps8_ex,0.015,0.019,0.0185,1.465,4.395,4.336
atpB_ex,0.055,0.0541,0.0606,3.734,17.549,15.852
ycf4_ex,0.008,0.0101,0.00826,1.996,4.818,5.297
petB_ex,0.06,0.0569,0.0524,2.737,7.0,5.829
rpl32_ex,0,0.00397,0.00407,0.007,4.204,4.095
atpE_ex,0.091,0.0781,0.0984,1.576,4.059,3.31
atpF_ex,0.032,0.0292,0.023,2.263,6.294,5.498
rpl14_ex,0.021,0.0245,0.0243,1.48,4.386,3.563
matK_ex,0.007,0.00718,0.00562,4.574,16.189,21.16
ndhD_ex,0.051,0.0537,0.0615,5.933,16.073,17.12
ndhA_ex,0.028,0.0283,0.0279,4.221,12.189,12.913
rpoC2_ex,0.23,0.229,0.253,16.735,44.395,52.644
rpl33_ex,0.001,0.00173,0.00089,1.501,3.112,2.713
psbH_ex,0.04,0.045,0.0481,0.96,2.696,2.802
cemA_ex,0,0.164,0.174,0.006,7.016,7.172
ndhE_ex,0.007,0.00904,0.00844,1.706,3.554,3.6
rpl16_ex,0.029,0.0305,0.0308,1.777,4.42,3.46
psaB_ex,0.126,0.132,0.128,11.177,18.16,17.121
ndhH_ex,0.106,0.104,0.105,3.524,10.036,8.674
rpoC1_ex,0.175,0.175,0.172,8.142,22.954,22.581
rps3_ex,0.224,0.236,0.248,3.572,8.37,7.967
