gene,CONSEL_hypo0,IQTree_hypo0,IQTree2_hypo0,runtime_CONSEL,runtime_IQTree,runtime_IQTree2
ndhE_cd,0.024,0.0239,0.0207,1.284,3.611,3.78
ndhB_cd,0,0.0347,0.0375,0.007,22.118,16.447
ndhA_cd,0.042,0.0494,0.0473,3.981,12.41,11.477
psbK_cd,0.147,0.14,0.155,1.224,3.271,3.569
rps16_cd,0.044,0.0434,0.0383,2.091,4.744,5.963
ndhG_cd,0.04,0.0403,0.0413,2.121,7.282,6.701
rps18_cd,0.098,0.0898,0.0932,4.493,13.294,10.625
ndhI_cd,0.02,0.0226,0.0205,2.175,6.489,5.683
atpH_cd,0.007,0.0052,0.00838,1.381,3.183,2.272
psbZ_cd,0.008,0.00662,0.00645,0.674,1.589,2.318
ndhJ_cd,0.002,0.00123,0.000621,2.565,5.959,5.554
rpoC1_cd,0.108,0.114,0.111,8.496,26.257,26.035
psbH_cd,0.142,0.131,0.126,1.135,3.927,3.155
petN_cd,0.001,0.000742,0.000977,0.594,1.026,0.985
rps4_cd,0.023,0.0249,0.025,2.766,8.086,7.496
rpl36_cd,4e-06,0.000485,2.12e-05,0.763,2.081,2.314
rbcL_cd,0.012,0.00949,0.00911,6.161,13.762,13.343
psbE_cd,0.002,0.000953,0.0015,1.043,3.464,3.27
psbC_cd,0.016,0.0167,0.0148,5.364,11.637,12.505
psbJ_cd,1e-10,4.96e-08,2.11e-06,0.749,2.201,2.67
rpl2_cd,0.185,0.175,0.198,3.73,9.692,12.08
matK_cd,0.013,0.0133,0.0161,7.006,15.519,19.767
clpP_cd,0.003,0.00173,0.00377,4.675,10.909,14.761
rpl22_cd,0.003,0.00419,0.00388,3.007,4.056,4.723
rps19_cd,0.021,0.0185,0.0203,1.771,7.309,7.6
rps7_cd,0.016,0.0142,0.0137,1.996,6.936,6.708
psaC_cd,0.002,0.00177,0.00142,1.285,2.692,2.265
psbL_cd,0.0003,3.99e-05,0.000264,0.434,1.749,2.063
ndhF_cd,0.032,0.0309,0.0296,8.186,22.947,22.796
psaA_cd,0.238,0.245,0.23,7.677,15.701,13.217
rps11_cd,0.023,0.0232,0.0262,1.316,3.842,3.966
rpoA_cd,0.012,0.0146,0.0104,3.096,11.996,14.52
ndhC_cd,0.023,0.0195,0.0197,2.162,4.291,4.936
psbI_cd,0.0003,0.00065,0.00073,0.777,2.034,2.113
rps2_cd,0,0.0524,0.0519,0.008,11.083,9.682
ycf1_cd,0.202,0.217,0.211,51.809,164.705,121.963
psbM_cd,0.001,0.000491,0.000108,0.841,1.86,2.086
petD_cd,0.023,0.0246,0.029,2.924,5.195,5.518
rpl16_cd,0.029,0.0329,0.0291,2.459,4.421,3.996
atpA_cd,0.085,0.08,0.0779,5.492,16.29,15.919
rps3_cd,0.189,0.187,0.186,5.442,8.852,6.51
rpl20_cd,0.016,0.0171,0.0145,2.011,6.049,5.913
rpl23_cd,0.015,0.0158,0.0138,1.457,5.681,5.808
rpoC2_cd,0,0.27,0.279,0.007,58.626,50.6
ycf4_cd,0.031,0.0282,0.0336,1.512,6.618,6.619
ycf3_cd,0,0.162,0.176,0.008,5.735,5.058
rpl14_cd,0.019,0.0177,0.017,1.406,3.852,3.887
petG_cd,1e-16,3.37e-05,4.07e-10,0.528,1.2,0.994
cemA_cd,0.172,0.166,0.163,2.658,5.871,8.246
psbB_cd,0.229,0.212,0.236,5.319,12.813,12.128
rps8_cd,0.012,0.0106,0.00956,1.322,3.091,3.956
psaJ_cd,6e-07,0.00274,0.00188,0.601,3.136,3.588
rps12_cd,0.01,0.00983,0.0113,2.059,3.619,3.506
atpE_cd,0.059,0.0594,0.0602,1.39,5.27,4.669
psbT_cd,0.001,0.000515,0.000602,0.576,2.382,2.323
psbA_cd,0.037,0.0356,0.0311,3.06,9.353,8.744
petB_cd,0.082,0.0734,0.0817,2.111,6.783,7.243
psaI_cd,0.003,0.00319,0.006,0.634,1.868,1.746
psaB_cd,0.135,0.131,0.134,6.546,18.505,18.131
psbD_cd,2e-07,6.95e-13,3.65e-23,3.082,9.886,9.091
ndhK_cd,0.299,0.288,0.279,2.771,7.226,6.872
atpI_cd,0.078,0.0779,0.0826,1.932,6.992,10.484
ccsA_cd,0.112,0.121,0.119,5.897,10.879,8.9
psbN_cd,0.004,0.00658,0.00695,0.716,1.447,1.933
petA_cd,0.036,0.036,0.0326,3.569,9.695,8.499
psbF_cd,1e-13,7.02e-06,1.52e-78,0.689,0.867,0.873
rpl33_cd,0.002,0.0039,0.00182,1.15,3.01,2.956
rpl32_cd,3e-05,4.66e-06,1.74e-05,1.293,2.743,3.335
atpB_cd,0.048,0.0482,0.045,5.781,16.749,15.288
rpoB_cd,0.053,0.058,0.0579,9.038,44.723,34.172
rps14_cd,0.087,0.0908,0.0836,1.222,3.383,3.073
ndhD_cd,0,0.0581,0.0597,0.005,16.02,14.729
accD_cd,0.002,0.00397,0.00388,15.293,28.762,25.519
petL_cd,0.002,0.00117,0.00197,0.55,2.633,2.869
ndhH_cd,0,0.094,0.117,0.008,10.736,12.415
atpF_cd,0.042,0.0466,0.04,3.205,6.386,6.016
rps15_cd,0.143,0.126,0.139,1.309,3.164,3.728
ycf2_cd,0,0.0773,0.0809,0.007,284.978,260.155
