gene,CONSEL_hypo0,IQTree_hypo0,IQTree2_hypo0,runtime_CONSEL,runtime_IQTree,runtime_IQTree2
rpoC2_ge,0.294,0.301,0.307,12.587,66.451,53.435
ndhD_ge,0.068,0.064,0.065,5.883,16.733,15.404
psbD_ge,1e-44,6.87e-87,0.00042,3.569,9.299,8.553
atpA_ge,0.093,0.0963,0.0949,8.009,16.322,15.602
atpH_ge,0.022,0.026,0.0234,1.031,2.788,2.657
rps15_ge,0.092,0.0735,0.0837,0.904,2.708,2.819
rpl22_ge,0.011,0.015,0.0132,2.584,5.693,5.078
ycf1_ge,0.146,0.135,0.131,33.93,188.778,171.13
rps8_ge,0.008,0.0128,0.00672,1.419,5.038,5.426
rpl36_ge,6e-05,4.73e-05,6.63e-05,0.656,2.369,2.435
ccsA_ge,0.109,0.096,0.102,4.11,9.145,8.426
psaC_ge,0.001,0.000526,0.000972,0.794,2.672,3.625
rpoB_ge,0.067,0.0646,0.0678,16.974,59.893,33.094
ndhA_ge,0.083,0.0866,0.0799,17.747,45.048,39.119
rps11_ge,0.03,0.0307,0.0315,2.352,6.385,5.535
psbF_ge,6e-05,4.08e-06,2.23e-07,0.841,1.167,0.885
psbH_ge,0.073,0.085,0.0777,0.974,3.473,5.238
rpl14_ge,0.011,0.0141,0.0135,2.297,4.785,5.2
rpl33_ge,0.003,0.00243,0.0031,1.049,2.777,4.84
ndhG_ge,0.04,0.0369,0.0473,2.766,7.407,6.964
psaJ_ge,0.0002,0.0114,0.0143,0.87,1.474,0.996
cemA_ge,0,0.149,0.131,0.009,12.179,8.706
petB_ge,0.08,0.0859,0.0851,11.048,29.046,20.763
accD_ge,0.134,0.136,0.129,13.775,46.904,28.898
rps12_ge,0.008,0.00758,0.00459,5.308,9.892,8.343
rpl32_ge,0.093,0.088,0.0859,1.305,3.056,4.806
atpF_ge,0.004,0.00511,0.00508,12.371,28.43,21.877
clpP_ge,0.148,0.153,0.152,21.871,59.63,56.601
atpB_ge,0.039,0.0407,0.0421,5.779,22.625,19.681
rpoA_ge,0.034,0.0322,0.0306,6.885,21.011,16.58
petG_ge,4e-06,5.05e-09,5.74e-07,0.488,1.148,1.317
rpoC1_ge,0.034,0.0318,0.0351,15.73,65.654,56.038
petL_ge,0.001,0.00174,0.00159,0.701,3.554,3.899
psbC_ge,0.014,0.0151,0.0165,7.302,12.663,10.078
psbE_ge,0.001,0.00033,0.00233,1.438,3.054,2.718
psbT_ge,0.001,0.000885,0.00193,0.49,1.891,1.932
psbL_ge,0.001,0.00171,0.000847,0.462,1.432,1.668
ndhC_ge,0.03,0.0263,0.0264,1.482,4.46,4.662
rbcL_ge,0.002,0.00315,0.00207,6.657,11.862,13.758
psbN_ge,0.002,0.00345,0.00233,0.57,1.603,2.363
ndhJ_ge,0.002,0.00154,0.00198,2.233,5.045,5.718
psbI_ge,0.0002,3.78e-05,9.66e-05,0.741,2.399,2.582
rps14_ge,0.043,0.0361,0.0415,1.419,4.108,4.143
ndhI_ge,0.029,0.0296,0.0333,1.806,4.56,5.593
psbZ_ge,0.003,0.00528,0.00334,0.965,2.421,2.52
petD_ge,0.329,0.357,0.347,11.504,32.508,22.086
psaI_ge,0.001,0.00244,0.00216,0.501,1.617,1.641
psbM_ge,0.001,0.000307,0.000553,0.623,2.958,4.418
petN_ge,0.0002,1.01e-05,1.72e-05,0.724,1.448,2.638
ycf3_ge,0.024,0.0212,0.0201,20.446,54.102,39.082
psaA_ge,0.153,0.144,0.151,8.446,16.351,17.594
rps16_ge,0.067,0.0792,0.0804,15.688,41.613,32.814
ndhH_ge,0.071,0.0783,0.0768,4.278,9.783,11.652
atpE_ge,0.115,0.109,0.101,1.727,4.778,3.82
rps3_ge,0.216,0.207,0.233,3.566,8.935,8.939
petA_ge,0.023,0.0214,0.026,4.734,8.942,8.634
rpl23_ge,0.012,0.00975,0.0112,1.436,5.966,6.227
atpI_ge,0.058,0.0618,0.0527,2.624,7.928,7.016
ndhE_ge,0.011,0.0102,0.0123,0.962,2.58,2.931
rpl20_ge,0.012,0.0139,0.00854,1.97,5.009,4.386
psbB_ge,0.195,0.191,0.185,5.321,12.413,14.104
rps18_ge,0.048,0.0533,0.055,2.563,10.356,9.03
rps4_ge,0.023,0.0217,0.0239,1.96,8.0,8.418
matK_ge,0.025,0.0196,0.0221,6.842,15.854,18.8
ndhB_ge,0.019,0.0225,0.0168,10.265,24.709,25.759
psbJ_ge,9e-11,6.6e-05,6.87e-05,0.632,2.416,2.556
rpl2_ge,0.073,0.0638,0.0712,6.134,17.546,17.404
psbK_ge,0.193,0.194,0.194,1.218,3.025,2.892
rpl16_ge,0.06,0.0677,0.0532,11.655,25.878,23.311
rps19_ge,0.012,0.0113,0.0102,1.78,7.28,7.373
psaB_ge,0.102,0.0995,0.0932,7.74,18.958,15.866
ndhK_ge,0.263,0.249,0.251,2.109,5.959,5.802
ycf2_ge,0.017,0.0178,0.0142,30.193,336.7,305.346
psbA_ge,0.06,0.05,0.0507,5.287,10.088,9.537
rps2_ge,0.063,0.0465,0.0551,4.293,8.746,8.815
rps7_ge,0.011,0.0141,0.0121,2.274,6.295,6.187
ndhF_ge,0.098,0.084,0.0857,8.604,22.736,19.2
ycf4_ge,0.023,0.02,0.0162,3.098,7.033,6.922
